Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1790008582,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1790008583,10,,Aggregated,0.000000,0.000000,430,520,630,640,650,730,730,730,730,730,730,19,0,430,390.10316700009037,138.50113700027578,725.6698340006551,55.05263157894737
1790008584,10,,Aggregated,0.000000,0.000000,220,270,290,320,540,640,650,730,730,730,730,59,0,220,270.55163771192537,138.2751629998893,725.6698340006551,55.03389830508475
1790008585,10,,Aggregated,5.000000,0.000000,220,250,270,290,430,630,650,730,730,730,730,97,0,220,251.13272088664107,134.8876060001203,725.6698340006551,54.96907216494845
1790008586,10,,Aggregated,22.000000,0.000000,210,240,270,280,330,520,640,650,730,730,730,134,0,210,239.04617728359554,134.8876060001203,725.6698340006551,54.92537313432836
1790008587,10,,Aggregated,27.666667,0.000000,210,240,270,280,330,440,640,650,730,730,730,171,0,210,236.03189607604835,134.8876060001203,725.6698340006551,54.91812865497076
1790008588,10,,Aggregated,29.750000,0.000000,210,250,270,290,340,430,630,640,730,730,730,207,0,210,236.15478684060923,134.8876060001203,725.6698340006551,54.91787439613527
1790008589,10,,Aggregated,31.000000,0.000000,210,250,270,290,340,440,630,640,730,730,730,241,0,210,235.25797243156032,134.54261399965617,725.6698340006551,54.904564315352694
1790008590,10,,Aggregated,32.333333,0.000000,210,250,280,290,350,440,540,640,730,730,730,276,0,210,236.29111188045604,134.54261399965617,725.6698340006551,54.916666666666664
1790008591,10,,Aggregated,31.857143,0.000000,200,250,270,290,340,430,520,640,730,730,730,316,0,200,230.3850750949516,133.2540789999257,725.6698340006551,54.924050632911396
1790008592,10,,Aggregated,32.875000,0.000000,200,250,270,290,350,430,520,640,730,730,730,350,0,200,231.323412271439,133.2540789999257,725.6698340006551,54.93142857142857
1790008593,10,,Aggregated,33.333333,0.000000,210,250,270,290,340,430,510,640,730,730,730,386,0,210,231.16753622538937,133.2540789999257,725.6698340006551,54.924870466321245
1790008594,10,,Aggregated,33.600000,0.000000,210,240,270,290,340,420,500,630,730,730,730,419,0,210,230.49391247254843,133.2540789999257,725.6698340006551,54.92840095465394
1790008595,10,,Aggregated,36.600000,0.000000,200,240,270,290,340,420,490,630,730,730,730,462,0,200,228.67812770995124,133.2540789999257,725.6698340006551,54.93290043290043
1790008596,10,,Aggregated,36.400000,0.000000,200,240,270,280,340,420,490,630,730,730,730,498,0,200,226.89407912047338,133.2540789999257,725.6698340006551,54.92369477911647
1790008597,10,,Aggregated,36.000000,0.000000,200,240,260,280,330,390,480,540,730,730,730,548,0,200,220.87011443064355,132.53447899933235,725.6698340006551,54.91970802919708
1790008598,10,,Aggregated,36.500000,0.000000,190,230,250,270,330,390,480,540,730,730,730,588,0,190,217.38385968536127,132.53447899933235,725.6698340006551,54.91836734693877
1790008599,10,,Aggregated,37.200000,0.000000,190,230,260,270,330,380,480,520,730,730,730,630,0,190,217.24191210315408,132.53447899933235,725.6698340006551,54.91587301587302
1790008600,10,,Aggregated,38.300000,0.000000,190,230,260,270,320,380,460,520,730,730,730,665,0,190,217.35431589020592,132.53447899933235,725.6698340006551,54.91729323308271
1790008601,10,,Aggregated,39.300000,0.000000,190,230,260,270,320,380,450,510,730,730,730,707,0,190,216.42839247381792,132.53447899933235,725.6698340006551,54.91796322489392
1790008602,10,,Aggregated,38.800000,0.000000,190,230,260,270,330,380,450,510,730,730,730,738,0,190,217.787342112452,132.53447899933235,725.6698340006551,54.91327913279133
1790008603,10,,Aggregated,38.300000,0.000000,190,230,260,270,320,380,450,510,730,730,730,783,0,190,216.18720255170905,130.30758300010348,725.6698340006551,54.90676883780332
1790008604,10,,Aggregated,38.900000,0.000000,190,230,260,270,320,380,440,500,730,730,730,819,0,190,216.34890019411787,130.30758300010348,725.6698340006551,54.8974358974359
1790008605,10,,Aggregated,39.500000,0.000000,190,230,250,270,320,370,440,500,730,730,730,861,0,190,215.20874205340712,130.30758300010348,725.6698340006551,54.89895470383275
1790008606,10,,Aggregated,39.600000,0.000000,190,220,250,270,320,370,440,490,730,730,730,908,0,190,211.9655474647407,130.30758300010348,725.6698340006551,54.89977973568282
1790008607,10,,Aggregated,40.200000,0.000000,190,220,250,270,320,370,430,490,730,730,730,951,0,190,211.2895626950409,130.30758300010348,725.6698340006551,54.9074658254469
1790008608,10,,Aggregated,40.500000,0.000000,180,220,250,270,320,370,430,490,730,730,730,993,0,180,209.33988636755691,130.30758300010348,725.6698340006551,54.903323262839876
1790008609,10,,Aggregated,40.300000,0.000000,190,220,250,270,320,370,430,480,650,730,730,1031,0,190,210.39322356836502,130.30758300010348,725.6698340006551,54.91173617846751
1790008610,10,,Aggregated,39.900000,0.000000,190,220,250,270,320,370,430,480,650,730,730,1068,0,190,210.24368300934657,130.30758300010348,725.6698340006551,54.90449438202247
1790008611,10,,Aggregated,39.400000,0.000000,190,220,250,270,320,370,430,480,650,730,730,1105,0,190,211.03250415111626,130.30758300010348,725.6698340006551,54.90859728506787
1790008612,10,,Aggregated,40.100000,0.000000,190,220,250,270,320,360,430,480,650,730,730,1143,0,190,210.286927759388,130.30758300010348,725.6698340006551,54.91338582677165
1790008613,10,,Aggregated,40.800000,0.000000,190,220,250,270,320,360,420,480,650,730,730,1179,0,190,211.4111555555398,130.30758300010348,725.6698340006551,54.91178965224767
1790008614,10,,Aggregated,39.800000,0.000000,190,220,250,270,320,360,430,480,650,730,730,1215,0,190,212.42568562879072,130.30758300010348,725.6698340006551,54.91358024691358
1790008615,10,,Aggregated,39.400000,0.000000,190,230,250,270,320,360,420,480,650,730,730,1251,0,190,212.8313391094973,130.30758300010348,725.6698340006551,54.9136690647482
1790008616,10,,Aggregated,39.000000,0.000000,190,220,250,270,320,360,420,480,650,730,730,1291,0,190,211.8738816715566,130.30758300010348,725.6698340006551,54.91092176607281
1790008617,10,,Aggregated,38.500000,0.000000,190,230,250,270,320,360,420,460,650,730,730,1327,0,190,212.62071232251782,130.30758300010348,725.6698340006551,54.910324039186136
1790008618,10,,Aggregated,38.200000,0.000000,190,230,250,270,320,360,420,460,650,730,730,1361,0,190,212.56322398969928,130.30758300010348,725.6698340006551,54.907421013960324
1790008619,10,,Aggregated,37.800000,0.000000,190,230,260,270,320,370,440,480,650,730,730,1396,0,190,213.90029840614878,130.30758300010348,725.6698340006551,54.90830945558739
1790008620,10,,Aggregated,36.800000,0.000000,190,230,250,270,320,370,440,480,650,730,730,1435,0,190,214.05390931079168,130.30758300010348,725.6698340006551,54.91080139372822
1790008621,10,,Aggregated,36.800000,0.000000,190,230,250,270,320,370,440,480,650,730,730,1474,0,190,213.61576008276015,130.30758300010348,725.6698340006551,54.912483039348714
