t_utc,true_label,pred_prob,pred_label,model_version,http_status,latency_s
2026-09-22T07:03:50Z,0,0.5276319520554054,1,2,200,0.539
2026-09-22T07:03:51Z,0,0.07591091543183337,0,2,200,0.363
2026-09-22T07:03:51Z,0,0.13207409142568266,0,4,200,0.350
2026-09-22T07:03:51Z,0,0.46236470935676066,0,2,200,0.351
2026-09-22T07:03:52Z,0,0.019334686443193198,0,2,200,0.359
2026-09-22T07:03:52Z,1,0.21437943647651594,0,2,200,0.355
2026-09-22T07:03:52Z,0,0.17605671850355048,0,2,200,0.355
2026-09-22T07:03:53Z,0,0.03317936196594368,0,2,200,0.348
2026-09-22T07:04:08Z,1,,,,"ERR:HTTPSConnectionPool(host='itcs355-serve.lemonmoss-4d9a49c1.japanwest.azurecontainerapps.io', port=443): Read timed out. (read timeout=15)",
2026-09-22T07:04:08Z,0,0.15177395887790268,0,2,200,0.413
2026-09-22T07:04:09Z,0,0.17220932971177677,0,2,200,0.352
2026-09-22T07:04:09Z,0,0.013799743416164061,0,2,200,0.363
2026-09-22T07:04:09Z,0,0.06581378571846787,0,2,200,0.351
2026-09-22T07:04:10Z,0,0.2828294117444702,0,2,200,0.358
2026-09-22T07:04:10Z,0,0.024829270760253142,0,2,200,0.347
2026-09-22T07:04:11Z,0,0.013554007023519912,0,2,200,0.428
2026-09-22T07:04:11Z,0,0.20012484497191899,0,2,200,0.360
2026-09-22T07:04:11Z,0,0.048729194318046065,0,2,200,0.349
2026-09-22T07:04:12Z,0,0.14611593425409922,0,2,200,0.358
2026-09-22T07:04:12Z,0,0.10854084182443778,0,2,200,0.366
2026-09-22T07:04:12Z,0,0.02816496740088168,0,2,200,0.348
2026-09-22T07:04:13Z,0,0.02539268057711532,0,2,200,0.356
2026-09-22T07:04:13Z,0,0.0379417513380217,0,2,200,0.351
2026-09-22T07:04:13Z,0,0.09683711429107163,0,2,200,0.366
2026-09-22T07:04:14Z,0,0.4897840874795291,0,2,200,0.349
2026-09-22T07:04:14Z,0,0.09925675673585455,0,2,200,0.340
2026-09-22T07:04:14Z,0,0.01298890017122594,0,2,200,0.347
2026-09-22T07:04:15Z,0,0.22600186607366302,0,2,200,0.355
